,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Shortest distance,Height diff,LULC,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
116,117,85000,1,4,107,74,35,220,270,0,0,0,0,81.5,0,7,400,1,0,0,1,0,0,1,0,0,1,0,0,346.8787966915372
117,118,85000,1,5,107,74,32,285,330,0,0,0,0,88.28,2,7,400,1,0,0,1,0,0,1,0,0,1,0,0,445.7133288549754
118,119,100000,1,3,107,74,25,180,230,0,0,0,0,199.4,5,7,300,1,0,0,0,1,0,1,0,0,1,0,0,273.22728109560404
119,120,80000,1,6,107,74,52,165,210,0,0,0,0,172.0,7,7,300,1,0,0,0,1,0,1,0,0,1,0,0,386.89781773347755
120,121,40000,1,4,107,74,35,285,330,0,0,0,0,147.49,3,7,320,0,1,0,0,1,0,0,1,1,0,0,0,364.39332327244966
121,122,50000,1,4,107,74,25,360,410,0,0,0,0,57.01,1,7,400,1,0,0,0,1,0,0,1,1,0,0,0,440.05320332797663
122,123,100000,1,3,107,74,13,480,300,0,0,0,0,56.75,2,7,390,1,0,0,1,0,0,1,0,0,1,0,0,458.87708974811085
123,124,100000,1,4,107,74,35,220,270,0,0,0,0,145.91,8,7,320,1,0,0,0,1,0,0,1,0,1,0,0,337.43817146314285
124,125,40000,1,4,107,74,22,405,450,0,0,0,0,55.01,1,7,440,1,0,0,0,1,0,1,0,0,1,0,0,468.4002994987815
125,126,100000,1,3,107,74,13,350,400,0,0,0,0,88.62,4,7,390,1,0,0,1,0,0,1,0,0,1,0,0,401.11101286449633
126,127,60000,1,3,107,74,13,480,300,0,0,0,0,97.74,3,7,390,1,0,0,1,0,0,0,1,0,1,0,0,446.5934413918847
127,128,40000,1,4,107,74,22,450,500,0,0,0,0,32.02,1,7,480,1,0,0,1,0,0,1,0,1,0,0,0,493.47509180183863
128,129,95000,1,6,107,74,42,240,290,0,0,0,0,79.88,0,7,420,1,0,0,1,0,0,0,1,0,1,0,0,465.4564845951669
129,130,45000,1,3,107,74,13,480,300,0,0,0,1,95.52,4,7,390,1,0,0,0,1,0,1,0,0,1,0,0,445.2747367829562
130,131,85000,1,4,107,74,25,405,450,0,0,0,0,56.01,1,7,440,1,0,0,1,0,0,0,1,0,1,0,0,467.4644854906215
131,132,60000,1,3,107,74,22,450,500,0,0,0,0,94.37,1,7,360,1,0,0,0,1,0,1,0,1,0,0,0,429.6914067756033
132,133,75000,1,4,107,74,15,480,300,0,0,0,0,23.85,1,7,520,1,0,0,0,1,0,0,1,0,1,0,0,517.5574816956854
133,134,80000,1,4,107,74,25,300,350,0,0,0,0,74.17,1,7,440,1,0,0,1,0,0,1,0,0,1,0,0,410.03389742110244
134,135,95000,1,6,107,74,42,240,290,0,0,0,0,79.2,1,7,420,1,0,0,1,0,0,0,1,1,0,0,0,464.8563405866284
135,136,95000,1,6,107,74,32,330,380,0,0,0,0,30.59,1,7,540,1,0,0,0,1,0,1,0,0,1,0,0,541.3645765962493
136,137,95000,1,4,107,74,22,450,500,0,0,0,0,67.08,2,7,480,1,0,0,1,0,0,1,0,1,0,0,0,497.4432704274685
137,138,95000,1,5,107,74,32,230,280,0,0,0,0,69.35,2,7,450,1,0,0,0,1,0,0,1,0,1,0,0,422.90625028887507
138,139,95000,1,3,107,74,5,600,450,0,0,0,0,49.48,1,7,480,1,0,0,0,1,0,1,0,0,1,0,0,543.3500409026456
139,140,95000,1,3,107,74,5,480,300,0,0,0,0,45.88,0,7,480,1,0,0,0,1,0,0,1,1,0,0,0,479.97165175215616
140,141,95000,1,4,107,74,25,360,410,0,0,0,0,93.91,3,7,400,1,0,0,1,0,0,0,1,1,0,0,0,439.9347376482581
141,142,75000,1,6,107,74,25,280,330,0,0,0,0,10.77,0,7,600,1,0,0,0,1,0,0,1,0,1,0,0,530.6333377169049
142,143,95000,1,6,107,74,35,285,330,0,0,0,0,60.44,2,7,480,1,0,0,0,1,0,0,1,0,1,0,0,506.5945460113788
143,144,60000,1,3,107,74,5,720,380,0,0,0,0,35.44,1,7,570,1,0,0,1,0,0,1,0,0,1,0,0,587.7307800624662
144,145,75000,1,4,107,74,22,450,500,0,0,0,0,59.51,0,7,480,1,0,0,1,0,0,1,0,0,1,0,0,496.47986937829415
145,146,40000,1,4,107,74,25,180,230,0,0,0,0,99.76,1,7,400,1,0,0,0,1,0,1,0,0,1,0,0,339.36275988549966
146,147,65000,1,5,107,74,35,285,330,0,0,0,0,89.47,2,7,400,1,0,0,0,1,0,0,1,0,1,0,0,437.2187723987506
147,148,85000,1,6,107,74,35,300,350,0,0,0,0,57.71,1,7,480,1,0,0,1,0,0,1,0,1,0,0,0,512.5873557950885
148,149,40000,1,4,107,74,62,120,170,0,0,0,0,229.59,8,7,160,1,0,0,0,1,0,1,0,1,0,0,0,205.6028056948746
149,150,45000,1,3,107,74,5,645,400,0,0,0,0,36.36,1,7,510,1,0,0,1,0,0,1,0,0,1,0,0,552.3997577492426
150,151,65000,1,5,107,74,35,285,330,0,0,0,0,129.4,5,7,400,1,0,0,0,1,0,0,1,0,1,0,0,430.2321045718365
151,152,40000,1,4,107,74,32,360,410,0,0,0,0,121.5,4,7,400,1,0,0,0,1,0,0,1,1,0,0,0,412.9470697619749
152,153,40000,1,6,107,74,42,210,260,0,0,0,0,177.72,4,7,360,1,0,0,0,1,0,0,1,0,1,0,0,427.55746465295584
153,154,40000,1,5,107,74,132,380,430,0,0,0,0,230.65,7,7,100,1,0,0,0,1,0,0,1,0,1,0,0,247.9854506614242
154,155,40000,1,4,107,74,92,210,260,0,0,0,0,294.54,6,7,120,1,0,0,0,1,0,0,1,1,0,0,0,179.61382085159946
155,156,40000,1,4,107,74,92,210,260,0,0,0,0,178.72,2,7,120,1,0,0,0,1,0,1,0,1,0,0,0,196.66239288017664
156,157,40000,1,5,107,74,132,380,430,0,0,0,0,196.02,9,7,100,1,0,0,0,1,0,1,0,1,0,0,0,250.896338844233
157,158,90000,1,6,107,74,122,210,260,0,0,0,0,224.45,11,7,60,1,0,0,0,1,0,0,1,1,0,0,0,248.57890162670896
158,159,105000,1,6,107,74,113,180,230,0,0,0,0,215.2,11,7,120,1,0,0,0,1,0,0,1,1,0,0,0,256.40883378490946
159,160,70000,1,5,107,74,113,210,260,0,0,0,0,210.11,5,7,100,1,0,0,0,1,0,1,0,1,0,0,0,210.1665481008872
160,161,70000,1,3,107,74,92,210,260,0,0,0,0,250.91,6,7,90,1,0,0,0,1,0,0,1,1,0,0,0,129.01815781249667
161,162,70000,1,5,107,74,122,180,230,0,0,0,0,332.63,7,7,50,1,0,0,0,1,0,0,1,0,1,0,0,158.1637888739906
162,163,70000,1,6,107,74,122,210,260,0,0,0,0,389.28,1,7,60,1,0,0,0,1,0,1,0,0,1,0,0,231.78539390424575
163,164,70000,1,3,107,74,132,370,420,0,0,0,0,448.99,3,7,60,1,0,0,0,1,0,0,1,1,0,0,0,101.65736351037083
164,165,105000,1,4,107,74,132,210,260,0,0,0,0,338.76,10,7,80,1,0,0,0,1,0,0,1,0,1,0,0,93.73973928616795
165,166,40000,1,4,107,74,132,210,260,0,0,0,0,305.81,18,7,80,1,0,0,0,1,0,0,1,0,1,0,0,81.71969802298685
166,167,100000,1,3,107,74,92,320,370,0,0,0,0,308.01,18,7,90,1,0,0,0,1,0,1,0,1,0,0,0,175.95948051021716
167,168,40000,1,4,107,74,132,210,260,0,0,0,0,400.05,22,7,80,1,0,0,0,1,0,1,0,1,0,0,0,67.33776808619012
168,169,50000,1,4,107,74,132,140,190,0,0,0,0,420.33,23,7,80,1,0,0,0,1,0,1,0,1,0,0,0,29.313421061160284
169,170,55000,1,3,107,74,92,210,260,0,0,0,0,378.8,18,7,90,1,0,0,0,1,0,0,1,0,1,0,0,102.55434446750894
170,171,70000,1,5,107,74,122,210,260,0,0,0,0,426.9,11,7,50,1,0,0,0,1,0,1,0,1,0,0,0,159.40719151769946
171,172,50000,1,4,107,74,132,180,230,0,0,0,0,473.33,10,7,80,1,0,0,0,1,0,0,1,1,0,0,0,52.49715849624465
172,173,80000,1,4,107,74,132,210,260,0,0,0,0,531.51,18,7,80,1,0,0,0,1,0,0,1,0,1,0,0,60.36427298794359
173,174,80000,1,5,107,74,132,210,260,0,0,0,0,527.39,16,7,50,1,0,0,0,1,0,1,0,1,0,0,0,123.1295048143408
