,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Shortest distance,Height diff,LULC,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
1352,153,40000,1,6,147,74,42,210,260,0,0,0,0,177.72,4,7,600,1,0,0,0,1,0,0,1,0,1,0,0,625.4806682347337
1353,154,40000,1,5,147,74,132,380,430,0,0,0,0,230.65,7,7,300,1,0,0,0,1,0,0,1,0,1,0,0,298.73315113535017
1354,155,40000,1,4,147,74,92,210,260,0,0,0,0,294.54,6,7,320,1,0,0,0,1,0,0,1,1,0,0,0,315.5798381456566
1355,156,40000,1,4,147,74,92,210,260,0,0,0,0,178.72,2,7,320,1,0,0,0,1,0,1,0,1,0,0,0,315.5798381456566
1356,157,40000,1,5,147,74,132,380,430,0,0,0,0,196.02,9,7,300,1,0,0,0,1,0,1,0,1,0,0,0,298.73315113535017
1357,158,90000,1,6,147,74,122,210,260,0,0,0,0,224.45,11,7,300,1,0,0,0,1,0,0,1,1,0,0,0,315.6167623795186
1358,159,105000,1,6,147,74,113,180,230,0,0,0,0,215.2,11,7,360,1,0,0,0,1,0,0,1,1,0,0,0,318.7592613620176
1359,160,70000,1,5,147,74,113,210,260,0,0,0,0,210.11,5,7,300,1,0,0,0,1,0,1,0,1,0,0,0,300.8379717077317
1360,161,70000,1,3,147,74,92,210,260,0,0,0,0,250.91,6,7,270,1,0,0,0,1,0,0,1,1,0,0,0,315.5798381456566
1361,162,70000,1,5,147,74,122,180,230,0,0,0,0,332.63,7,7,250,1,0,0,0,1,0,0,1,0,1,0,0,298.58510235486233
1362,163,70000,1,6,147,74,122,210,260,0,0,0,0,389.28,1,7,300,1,0,0,0,1,0,1,0,0,1,0,0,315.6167623795186
1363,164,70000,1,3,147,74,132,370,420,0,0,0,0,448.99,3,7,240,1,0,0,0,1,0,0,1,1,0,0,0,298.96535568412884
1364,165,105000,1,4,147,74,132,210,260,0,0,0,0,338.76,10,7,280,1,0,0,0,1,0,0,1,0,1,0,0,298.4571690914102
1365,166,40000,1,4,147,74,132,210,260,0,0,0,0,305.81,18,7,280,1,0,0,0,1,0,0,1,0,1,0,0,297.5675394617806
1366,167,100000,1,3,147,74,92,320,370,0,0,0,0,308.01,18,7,270,1,0,0,0,1,0,1,0,1,0,0,0,316.4694677752862
1367,168,40000,1,4,147,74,132,210,260,0,0,0,0,400.05,22,7,280,1,0,0,0,1,0,1,0,1,0,0,0,297.5675394617806
1368,169,50000,1,4,147,74,132,140,190,0,0,0,0,420.33,23,7,280,1,0,0,0,1,0,1,0,1,0,0,0,297.5675394617806
1369,170,55000,1,3,147,74,92,210,260,0,0,0,0,378.8,18,7,270,1,0,0,0,1,0,0,1,0,1,0,0,315.5798381456566
1370,171,70000,1,5,147,74,122,210,260,0,0,0,0,426.9,11,7,250,1,0,0,0,1,0,1,0,1,0,0,0,298.58510235486233
1371,172,50000,1,4,147,74,132,180,230,0,0,0,0,473.33,10,7,280,1,0,0,0,1,0,0,1,1,0,0,0,297.5675394617806
1372,173,80000,1,4,147,74,132,210,260,0,0,0,0,531.51,18,7,280,1,0,0,0,1,0,0,1,0,1,0,0,297.5675394617806
1373,174,80000,1,5,147,74,132,210,260,0,0,0,0,527.39,16,7,250,1,0,0,0,1,0,1,0,1,0,0,0,298.58510235486233
1374,175,80000,1,6,147,74,122,190,240,0,0,0,0,463.04,4,7,300,1,0,0,0,1,0,0,1,1,0,0,0,315.6167623795186
1375,176,80000,1,3,147,74,132,210,260,0,0,0,0,488.07,26,7,240,1,0,0,0,1,0,1,0,0,1,0,0,297.5675394617806
1376,177,80000,1,4,147,74,120,210,260,0,0,0,0,474.22,15,7,280,1,0,0,0,1,0,0,1,0,1,0,0,297.5675394617806
1377,178,80000,1,4,147,74,120,400,450,0,0,0,0,469.3,24,7,280,1,0,0,0,1,0,0,1,1,0,0,0,298.96535568412884
1378,179,80000,1,5,147,74,130,210,260,0,0,0,0,470.34,17,7,250,1,0,0,0,1,0,1,0,0,1,0,0,298.58510235486233
1379,180,80000,1,3,147,74,50,120,170,0,0,0,0,405.81,9,7,300,1,0,0,0,1,0,1,0,1,0,0,0,433.17707101050996
1380,181,80000,1,4,147,74,90,280,330,0,0,0,0,379.33,16,7,320,1,0,0,0,1,0,1,0,1,0,0,0,317.0880397266842
1381,182,50000,1,4,147,74,90,120,170,0,0,0,0,323.36,12,7,320,1,0,0,0,1,0,0,1,0,1,0,0,317.0880397266842
1382,183,60000,1,3,147,74,90,120,170,0,0,0,0,373.55,9,7,270,1,0,0,0,1,0,1,0,1,0,0,0,317.0880397266842
1383,184,50000,1,4,147,74,55,165,210,0,0,0,0,268.75,9,7,400,1,0,0,0,1,0,1,0,0,1,0,0,428.0724010286331
1384,185,70000,1,5,147,74,130,380,430,0,0,0,0,342.38,2,7,300,1,0,0,1,0,0,1,0,0,1,0,0,298.73315113535017
1385,186,95000,1,5,147,74,130,165,210,0,0,0,0,297.26,6,7,300,1,0,0,1,0,0,1,0,0,1,0,0,298.58510235486233
1386,187,95000,1,6,147,74,130,120,170,0,0,0,1,231.68,8,7,360,1,0,0,0,1,0,0,1,0,1,0,0,315.6167623795186
1387,188,65000,1,5,147,74,120,165,210,0,0,0,0,237.2,0,7,300,1,0,0,0,1,0,1,0,0,1,0,0,298.58510235486233
1388,189,45000,1,3,147,74,20,280,330,0,0,0,0,186.42,6,7,480,1,0,0,0,1,0,1,0,0,1,0,0,504.0409934740264
1389,190,40000,1,4,147,74,20,360,410,0,0,0,0,72.57,3,7,600,1,0,0,0,1,0,1,0,1,0,0,0,546.5117783015623
1390,191,55000,1,3,147,74,13,450,500,0,0,0,0,112.72,3,7,540,1,0,0,1,0,0,1,0,1,0,0,0,586.3700521518438
