,ID,Household income,Education,Household size,Rainfall,Ave temp,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
97,98,50000,1,4,0,75,200,250,0,0,0,0,200,1,0,0,0,1,0,1,0,1,0,0,0,243.85112558765718
98,99,80000,1,4,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,213.3391956960768
99,100,70000,1,5,0,75,285,330,0,0,0,0,400,1,0,0,0,1,0,0,1,1,0,0,0,348.99495946415993
100,101,85000,1,6,107,74,240,290,0,0,0,0,420,1,0,0,0,1,0,0,1,0,1,0,0,486.2832956389521
101,102,105000,1,3,107,74,480,300,0,0,0,0,390,1,0,0,0,1,0,0,1,1,0,0,0,472.34989423573654
102,103,40000,1,4,107,74,285,330,0,0,0,0,320,1,0,0,0,1,0,1,0,1,0,0,0,366.40170668083437
103,104,65000,1,5,107,74,210,260,0,0,0,0,300,1,0,0,0,1,0,0,1,1,0,0,0,357.17503714972173
104,105,85000,1,6,107,74,165,210,0,0,0,0,300,1,0,0,0,1,0,1,0,1,0,0,0,392.2052214076383
105,106,60000,1,3,107,74,405,450,0,0,0,0,330,1,0,0,0,1,0,1,0,0,1,0,0,423.4671089210482
106,107,75000,1,4,107,74,200,250,0,0,0,0,320,1,0,0,0,1,0,1,0,0,0,0,1,314.3057756388276
107,108,55000,1,5,107,74,285,330,0,0,0,0,400,1,0,0,0,1,0,1,0,1,0,0,0,430.45849741209247
108,109,95000,1,6,107,74,210,260,0,0,0,0,360,1,0,0,0,1,0,0,1,0,1,0,0,454.52640860703184
109,110,75000,1,4,107,74,330,380,0,0,0,0,360,1,0,0,0,1,0,1,0,0,1,0,0,414.99989610644684
110,111,85000,1,6,107,74,165,210,0,0,0,0,300,1,0,0,0,1,0,1,0,1,0,0,0,392.2052214076383
111,112,85000,1,4,107,74,240,290,0,0,0,0,280,1,0,0,0,1,0,1,0,1,0,0,0,343.79766266688324
112,113,85000,1,3,107,74,360,410,0,0,0,0,300,1,0,0,0,1,0,1,0,0,1,0,0,393.7770138429259
113,114,85000,1,4,107,74,405,450,0,0,0,0,440,1,0,0,1,0,0,0,1,0,1,0,0,512.9360595790927
114,115,85000,1,5,107,74,450,500,0,0,0,0,600,1,0,0,0,1,0,0,1,1,0,0,0,685.4082275908542
115,116,85000,1,5,107,74,210,260,0,0,0,0,300,1,0,0,0,1,0,0,1,1,0,0,0,368.6862210509939
116,117,85000,1,4,107,74,220,270,0,0,0,0,400,1,0,0,1,0,0,1,0,0,1,0,0,391.3412914306053
117,118,85000,1,5,107,74,285,330,0,0,0,0,400,1,0,0,1,0,0,1,0,0,1,0,0,490.8140483010291
