,ID,Household income,Education,Household size,Rainfall,Ave temp,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
64,65,45000,1,3,0,75,165,210,0,0,0,0,60,1,0,0,0,1,0,0,1,0,0,0,1,90.96496789832418
65,66,90000,1,6,0,75,165,210,0,0,0,0,60,1,0,0,0,1,0,0,1,0,1,0,0,290.1851698459629
66,67,50000,1,4,0,75,200,250,0,0,0,0,120,1,0,0,1,0,0,0,1,0,1,0,0,216.56361290974198
67,68,60000,1,3,0,75,165,210,0,0,0,0,90,1,0,0,1,0,0,0,1,0,1,0,0,113.75786750476811
68,69,60000,1,4,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,0,1,0,1,0,0,157.3717018808704
69,70,60000,1,6,0,75,310,360,0,0,0,0,60,1,0,0,0,1,0,0,1,0,1,0,0,447.7394180849708
70,71,60000,1,4,0,75,165,210,0,0,0,0,40,1,0,0,0,1,0,1,0,1,0,0,0,157.3717018808704
71,72,60000,1,5,0,75,165,210,0,0,0,0,100,1,0,0,0,1,0,1,0,1,0,0,0,221.01845941330728
72,73,60000,1,3,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,0,1,1,0,0,0,45.94193181804951
73,74,60000,1,4,0,75,280,330,0,0,0,0,80,1,0,0,0,1,0,0,1,1,0,0,0,287.1526587564743
74,75,65000,1,5,0,75,120,170,0,0,0,0,100,1,0,0,0,1,0,0,1,0,1,0,0,174.15543903295975
75,76,70000,1,4,0,75,120,170,0,0,0,0,80,1,0,0,0,1,0,1,0,0,1,0,0,111.42867365055929
76,77,40000,1,4,0,75,300,350,0,0,0,0,40,1,0,0,0,1,0,1,0,1,0,0,0,305.66818633207697
77,78,45000,1,3,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,1,0,0,1,0,0,43.181955367940134
78,79,95000,1,6,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,0,1,1,0,0,0,243.32214946561533
