,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Shortest distance,Height diff,LULC,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
106,107,75000,1,4,107,74,25,200,250,0,0,0,0,164.0,6,7,320,1,0,0,0,1,0,1,0,0,0,0,1,369.43924629256065
107,108,55000,1,5,107,74,25,285,330,0,0,0,0,108.26,2,7,400,1,0,0,0,1,0,1,0,1,0,0,0,479.8229995454699
108,109,95000,1,6,107,74,42,210,260,0,0,0,0,113.89,2,7,360,1,0,0,0,1,0,0,1,0,1,0,0,458.2476646803111
109,110,75000,1,4,107,74,32,330,380,0,0,0,0,183.35,1,7,360,1,0,0,0,1,0,1,0,0,1,0,0,400.1469767384745
110,111,85000,1,6,107,74,52,165,210,0,0,0,0,226.74,2,7,300,1,0,0,0,1,0,1,0,1,0,0,0,417.37932708248604
111,112,85000,1,4,107,74,42,240,290,0,0,0,0,283.47,1,7,280,1,0,0,0,1,0,1,0,1,0,0,0,345.0542412358468
112,113,85000,1,3,107,74,25,360,410,0,0,0,0,261.69,2,7,300,1,0,0,0,1,0,1,0,0,1,0,0,368.8914804545991
113,114,85000,1,4,107,74,25,405,450,0,0,0,0,118.68,2,7,440,1,0,0,1,0,0,0,1,0,1,0,0,452.0141644451026
114,115,85000,1,5,107,74,22,450,500,0,0,0,0,33.53,1,7,600,1,0,0,0,1,0,0,1,1,0,0,0,552.0970462267803
115,116,85000,1,5,107,74,52,210,260,0,0,0,0,142.44,2,7,300,1,0,0,0,1,0,0,1,1,0,0,0,375.6898219513615
116,117,85000,1,4,107,74,35,220,270,0,0,0,0,81.5,0,7,400,1,0,0,1,0,0,1,0,0,1,0,0,412.69061193594376
117,118,85000,1,5,107,74,32,285,330,0,0,0,0,88.28,2,7,400,1,0,0,1,0,0,1,0,0,1,0,0,460.18325739772774
118,119,100000,1,3,107,74,25,180,230,0,0,0,0,199.4,5,7,300,1,0,0,0,1,0,1,0,0,1,0,0,349.08649834964564
119,120,80000,1,6,107,74,52,165,210,0,0,0,0,172.0,7,7,300,1,0,0,0,1,0,1,0,0,1,0,0,408.8689599248206
120,121,40000,1,4,107,74,35,285,330,0,0,0,0,147.49,3,7,320,0,1,0,0,1,0,0,1,1,0,0,0,378.9087819781371
121,122,50000,1,4,107,74,25,360,410,0,0,0,0,57.01,1,7,400,1,0,0,0,1,0,0,1,1,0,0,0,443.17466417232583
122,123,100000,1,3,107,74,13,480,300,0,0,0,0,56.75,2,7,390,1,0,0,1,0,0,1,0,0,1,0,0,457.1708615014023
123,124,100000,1,4,107,74,35,220,270,0,0,0,0,145.91,8,7,320,1,0,0,0,1,0,0,1,0,1,0,0,361.1987568622885
124,125,40000,1,4,107,74,22,405,450,0,0,0,0,55.01,1,7,440,1,0,0,0,1,0,1,0,0,1,0,0,480.90318662268606
125,126,100000,1,3,107,74,13,350,400,0,0,0,0,88.62,4,7,390,1,0,0,1,0,0,1,0,0,1,0,0,450.7313537048208
126,127,60000,1,3,107,74,13,480,300,0,0,0,0,97.74,3,7,390,1,0,0,1,0,0,0,1,0,1,0,0,430.68926454252363
127,128,40000,1,4,107,74,22,450,500,0,0,0,0,32.02,1,7,480,1,0,0,1,0,0,1,0,1,0,0,0,466.3080379557805
128,129,95000,1,6,107,74,42,240,290,0,0,0,0,79.88,0,7,420,1,0,0,1,0,0,0,1,0,1,0,0,491.77960193652814
129,130,45000,1,3,107,74,13,480,300,0,0,0,1,95.52,4,7,390,1,0,0,0,1,0,1,0,0,1,0,0,400.1853428962778
130,131,85000,1,4,107,74,25,405,450,0,0,0,0,56.01,1,7,440,1,0,0,1,0,0,0,1,0,1,0,0,455.0105587171796
131,132,60000,1,3,107,74,22,450,500,0,0,0,0,94.37,1,7,360,1,0,0,0,1,0,1,0,1,0,0,0,394.95741781412585
132,133,75000,1,4,107,74,15,480,300,0,0,0,0,23.85,1,7,520,1,0,0,0,1,0,0,1,0,1,0,0,513.582528184587
133,134,80000,1,4,107,74,25,300,350,0,0,0,0,74.17,1,7,440,1,0,0,1,0,0,1,0,0,1,0,0,438.50034277320583
134,135,95000,1,6,107,74,42,240,290,0,0,0,0,79.2,1,7,420,1,0,0,1,0,0,0,1,1,0,0,0,486.5914444330648
135,136,95000,1,6,107,74,32,330,380,0,0,0,0,30.59,1,7,540,1,0,0,0,1,0,1,0,0,1,0,0,597.4536209779174
136,137,95000,1,4,107,74,22,450,500,0,0,0,0,67.08,2,7,480,1,0,0,1,0,0,1,0,1,0,0,0,461.03009620972495
137,138,95000,1,5,107,74,32,230,280,0,0,0,0,69.35,2,7,450,1,0,0,0,1,0,0,1,0,1,0,0,439.79423394741036
138,139,95000,1,3,107,74,5,600,450,0,0,0,0,49.48,1,7,480,1,0,0,0,1,0,1,0,0,1,0,0,551.055216099084
139,140,95000,1,3,107,74,5,480,300,0,0,0,0,45.88,0,7,480,1,0,0,0,1,0,0,1,1,0,0,0,480.4679583385956
140,141,95000,1,4,107,74,25,360,410,0,0,0,0,93.91,3,7,400,1,0,0,1,0,0,0,1,1,0,0,0,450.83161119604813
141,142,75000,1,6,107,74,25,280,330,0,0,0,0,10.77,0,7,600,1,0,0,0,1,0,0,1,0,1,0,0,592.6236552424061
142,143,95000,1,6,107,74,35,285,330,0,0,0,0,60.44,2,7,480,1,0,0,0,1,0,0,1,0,1,0,0,548.1264027706076
143,144,60000,1,3,107,74,5,720,380,0,0,0,0,35.44,1,7,570,1,0,0,1,0,0,1,0,0,1,0,0,622.577428474433
144,145,75000,1,4,107,74,22,450,500,0,0,0,0,59.51,0,7,480,1,0,0,1,0,0,1,0,0,1,0,0,464.70574327945667
145,146,40000,1,4,107,74,25,180,230,0,0,0,0,99.76,1,7,400,1,0,0,0,1,0,1,0,0,1,0,0,383.7390358347111
146,147,65000,1,5,107,74,35,285,330,0,0,0,0,89.47,2,7,400,1,0,0,0,1,0,0,1,0,1,0,0,437.8871240309204
147,148,85000,1,6,107,74,35,300,350,0,0,0,0,57.71,1,7,480,1,0,0,1,0,0,1,0,1,0,0,0,543.8178803614626
148,149,40000,1,4,107,74,62,120,170,0,0,0,0,229.59,8,7,160,1,0,0,0,1,0,1,0,1,0,0,0,319.111669149248
149,150,45000,1,3,107,74,5,645,400,0,0,0,0,36.36,1,7,510,1,0,0,1,0,0,1,0,0,1,0,0,560.4597009069472
150,151,65000,1,5,107,74,35,285,330,0,0,0,0,129.4,5,7,400,1,0,0,0,1,0,0,1,0,1,0,0,435.1522561000359
151,152,40000,1,4,107,74,32,360,410,0,0,0,0,121.5,4,7,400,1,0,0,0,1,0,0,1,1,0,0,0,421.53023456687487
152,153,40000,1,6,107,74,42,210,260,0,0,0,0,177.72,4,7,360,1,0,0,0,1,0,0,1,0,1,0,0,494.50489791166837
153,154,40000,1,5,107,74,132,380,430,0,0,0,0,230.65,7,7,100,1,0,0,0,1,0,0,1,0,1,0,0,119.09423044319477
154,155,40000,1,4,107,74,92,210,260,0,0,0,0,294.54,6,7,120,1,0,0,0,1,0,0,1,1,0,0,0,276.8970411283436
155,156,40000,1,4,107,74,92,210,260,0,0,0,0,178.72,2,7,120,1,0,0,0,1,0,1,0,1,0,0,0,264.6100266148508
156,157,40000,1,5,107,74,132,380,430,0,0,0,0,196.02,9,7,100,1,0,0,0,1,0,1,0,1,0,0,0,111.70410483498574
157,158,90000,1,6,107,74,122,210,260,0,0,0,0,224.45,11,7,60,1,0,0,0,1,0,0,1,1,0,0,0,151.90191477187858
158,159,105000,1,6,107,74,113,180,230,0,0,0,0,215.2,11,7,120,1,0,0,0,1,0,0,1,1,0,0,0,187.245623679733
159,160,70000,1,5,107,74,113,210,260,0,0,0,0,210.11,5,7,100,1,0,0,0,1,0,1,0,1,0,0,0,165.10263562088232
160,161,70000,1,3,107,74,92,210,260,0,0,0,0,250.91,6,7,90,1,0,0,0,1,0,0,1,1,0,0,0,258.22003062094655
161,162,70000,1,5,107,74,122,180,230,0,0,0,0,332.63,7,7,50,1,0,0,0,1,0,0,1,0,1,0,0,160.57204215254183
