,ID,Household income,Education,Household size,Rainfall,Ave temp,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
83,84,95000,1,6,0,75,220,270,0,0,0,0,60,1,0,0,0,1,0,1,0,1,0,0,0,332.01906836809854
84,85,80000,1,4,0,75,120,170,0,0,0,0,80,1,0,0,0,1,0,1,0,1,0,0,0,131.51347013744942
85,86,45000,1,3,0,75,120,170,0,0,0,0,90,1,0,0,0,1,0,1,0,1,0,0,0,125.00083888886893
86,87,60000,1,3,0,75,180,230,0,0,0,0,90,1,0,0,0,1,0,0,1,0,1,0,0,180.036844652595
87,88,85000,1,6,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,0,1,0,1,0,0,130.25013646936017
88,89,45000,1,3,0,75,190,240,0,0,0,0,120,1,0,0,0,1,0,0,1,1,0,0,0,177.89042458456777
89,90,45000,1,3,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,1,0,0,125.00083888886893
90,91,45000,1,4,0,75,165,210,0,0,0,0,200,1,0,0,0,1,0,1,0,0,1,0,0,201.5676235814991
91,92,45000,1,4,0,75,165,210,0,0,0,0,160,1,0,0,0,1,0,1,0,0,1,0,0,201.5676235814991
92,93,45000,1,6,0,75,100,150,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,228.67849784675604
93,94,45000,1,6,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,0,1,1,0,0,0,239.19255951173488
94,95,45000,1,6,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,0,0,1,178.09776206202116
95,96,45000,1,3,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,1,0,0,0,0,1,180.71292282466354
96,97,45000,1,4,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,0,1,0,0,0,1,201.5676235814991
97,98,50000,1,4,0,75,200,250,0,0,0,0,200,1,0,0,0,1,0,1,0,1,0,0,0,212.23055383229192
