,ID,Household income,Education,Household size,Rainfall,Ave temp,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
81,82,60000,1,3,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,0,1,1,0,0,0,125.29011688262334
82,83,105000,1,3,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,0,1,0,1,0,0,122.47567487038718
83,84,95000,1,6,0,75,220,270,0,0,0,0,60,1,0,0,0,1,0,1,0,1,0,0,0,329.573763491459
84,85,80000,1,4,0,75,120,170,0,0,0,0,80,1,0,0,0,1,0,1,0,1,0,0,0,139.34934728013525
85,86,45000,1,3,0,75,120,170,0,0,0,0,90,1,0,0,0,1,0,1,0,1,0,0,0,125.29011688262334
86,87,60000,1,3,0,75,180,230,0,0,0,0,90,1,0,0,0,1,0,0,1,0,1,0,0,200.33588611706378
87,88,85000,1,6,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,0,1,0,1,0,0,139.57406230895546
88,89,45000,1,3,0,75,190,240,0,0,0,0,120,1,0,0,0,1,0,0,1,1,0,0,0,198.86799620880691
89,90,45000,1,3,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,1,0,0,125.29011688262334
90,91,45000,1,4,0,75,165,210,0,0,0,0,200,1,0,0,0,1,0,1,0,0,1,0,0,207.52901653153546
91,92,45000,1,4,0,75,165,210,0,0,0,0,160,1,0,0,0,1,0,1,0,0,1,0,0,207.52901653153546
92,93,45000,1,6,0,75,100,150,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,134.1597689257553
93,94,45000,1,6,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,0,1,1,0,0,0,260.7797794510848
94,95,45000,1,6,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,0,0,1,141.09933900121746
95,96,45000,1,3,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,1,0,0,0,0,1,205.9468542064331
96,97,45000,1,4,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,0,1,0,0,0,1,207.52901653153546
97,98,50000,1,4,0,75,200,250,0,0,0,0,200,1,0,0,0,1,0,1,0,1,0,0,0,204.58244009299398
98,99,80000,1,4,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,214.44390009041695
99,100,70000,1,5,0,75,285,330,0,0,0,0,400,1,0,0,0,1,0,0,1,1,0,0,0,323.1538995949726
100,101,85000,1,6,107,74,240,290,0,0,0,0,420,1,0,0,0,1,0,0,1,0,1,0,0,385.4703165177363
101,102,105000,1,3,107,74,480,300,0,0,0,0,390,1,0,0,0,1,0,0,1,1,0,0,0,496.3022358293006
102,103,40000,1,4,107,74,285,330,0,0,0,0,320,1,0,0,0,1,0,1,0,1,0,0,0,270.8616220114056
103,104,65000,1,5,107,74,210,260,0,0,0,0,300,1,0,0,0,1,0,0,1,1,0,0,0,234.19418774428556
104,105,85000,1,6,107,74,165,210,0,0,0,0,300,1,0,0,0,1,0,1,0,1,0,0,0,272.4220871938653
105,106,60000,1,3,107,74,405,450,0,0,0,0,330,1,0,0,0,1,0,1,0,0,1,0,0,405.41086365839806
106,107,75000,1,4,107,74,200,250,0,0,0,0,320,1,0,0,0,1,0,1,0,0,0,0,1,209.70131040417283
107,108,55000,1,5,107,74,285,330,0,0,0,0,400,1,0,0,0,1,0,1,0,1,0,0,0,323.6044441139709
108,109,95000,1,6,107,74,210,260,0,0,0,0,360,1,0,0,0,1,0,0,1,0,1,0,0,331.78701972034565
109,110,75000,1,4,107,74,330,380,0,0,0,0,360,1,0,0,0,1,0,1,0,0,1,0,0,375.5038867494236
110,111,85000,1,6,107,74,165,210,0,0,0,0,300,1,0,0,0,1,0,1,0,1,0,0,0,272.4220871938653
111,112,85000,1,4,107,74,240,290,0,0,0,0,280,1,0,0,0,1,0,1,0,1,0,0,0,272.17399342784813
112,113,85000,1,3,107,74,360,410,0,0,0,0,300,1,0,0,0,1,0,1,0,0,1,0,0,347.22090368787235
113,114,85000,1,4,107,74,405,450,0,0,0,0,440,1,0,0,1,0,0,0,1,0,1,0,0,435.3341585685945
114,115,85000,1,5,107,74,450,500,0,0,0,0,600,1,0,0,0,1,0,0,1,1,0,0,0,473.3952696433693
115,116,85000,1,5,107,74,210,260,0,0,0,0,300,1,0,0,0,1,0,0,1,1,0,0,0,238.0859773800346
116,117,85000,1,4,107,74,220,270,0,0,0,0,400,1,0,0,1,0,0,1,0,0,1,0,0,262.9602544834499
117,118,85000,1,5,107,74,285,330,0,0,0,0,400,1,0,0,1,0,0,1,0,0,1,0,0,325.9890581598118
118,119,100000,1,3,107,74,180,230,0,0,0,0,300,1,0,0,0,1,0,1,0,0,1,0,0,206.6405205927373
119,120,80000,1,6,107,74,165,210,0,0,0,0,300,1,0,0,0,1,0,1,0,0,1,0,0,267.98546083486724
120,121,40000,1,4,107,74,285,330,0,0,0,0,320,0,1,0,0,1,0,0,1,1,0,0,0,270.8616220114056
121,122,50000,1,4,107,74,360,410,0,0,0,0,400,1,0,0,0,1,0,0,1,1,0,0,0,375.5038867494236
122,123,100000,1,3,107,74,480,300,0,0,0,0,390,1,0,0,1,0,0,1,0,0,1,0,0,496.3022358293006
123,124,100000,1,4,107,74,220,270,0,0,0,0,320,1,0,0,0,1,0,0,1,0,1,0,0,262.9602544834499
124,125,40000,1,4,107,74,405,450,0,0,0,0,440,1,0,0,0,1,0,1,0,0,1,0,0,432.2088611885983
125,126,100000,1,3,107,74,350,400,0,0,0,0,390,1,0,0,1,0,0,1,0,0,1,0,0,347.22090368787235
126,127,60000,1,3,107,74,480,300,0,0,0,0,390,1,0,0,1,0,0,0,1,0,1,0,0,496.3022358293006
127,128,40000,1,4,107,74,450,500,0,0,0,0,480,1,0,0,1,0,0,1,0,1,0,0,0,437.68512422739207
128,129,95000,1,6,107,74,240,290,0,0,0,0,420,1,0,0,1,0,0,0,1,0,1,0,0,386.4181187155385
129,130,45000,1,3,107,74,480,300,0,0,0,1,390,1,0,0,0,1,0,1,0,0,1,0,0,496.3022358293006
